프렙명,재료명,투입량
스트라치아텔라,생모짜렐라(6봉),850g
스트라치아텔라,생크림,600g
스트라치아텔라,레몬즙,30g
스트라치아텔라,소금,10g
에그마요,삶은계란,20개
에그마요,크림치즈,40g
에그마요,마요네즈,50g
에그마요,허니머스타드,20g
에그마요,홀그레인머스타드,20g
에그마요,설탕,10g
에그마요,소금,10g
코우슬로우,양배추,2000g
코우슬로우,당근,500g
코우슬로우,피클렐리쉬,150g
코우슬로우,홀그레인머스타드,50g
코우슬로우,허니머스타드,50g
코우슬로우,사워크림,100g
코우슬로우,마요네즈,150g
코우슬로우,2배식초,10g
코우슬로우,소금,15gs
코우슬로우,설탕,20g
코우슬로우,후추,1g
치미추리,이태리파슬리,300g
치미추리,고수,100g
치미추리,양파,50g
치미추리,마늘,50g
치미추리,오레가노,5g
치미추리,청양고추,50g
치미추리,올리브오일,100g
치미추리,레드와인식초,20g
치미추리,레몬즙,20g
치미추리,후추,3g
치미추리,소금,7g
치미추리,설탕,10g
발사믹 어니언,양파,2000g
발사믹 어니언,갈색설탕,50g
발사믹 어니언,소금,10g
발사믹 어니언,발사믹식초,150g
발사믹 어니언,발사믹글레이즈드,100g
발사믹 어니언,오레가노,2g
발사믹 어니언,후추,3g
갈릭쉬림프,새우,1000g
갈릭쉬림프,버터,30g
갈릭쉬림프,간마늘,30g
갈릭쉬림프,타임럽,1g
갈릭쉬림프,레몬주스,10g
파프리카 피클,파프리카,10000g
파프리카 피클,버진올리브오일,250g
파프리카 피클,발사믹와인식초,250g
파프리카 피클,레몬즙,100g
파프리카 피클,다진마늘,100g
파프리카 피클,소금,50g
파프리카 피클,꿀,50g
파프리카 피클,바질럽/오레가노,3g
파프리카 피클,후추,3g
오이 피클,오이(12개),10000g
오이 피클,물,4000g
오이 피클,소금,240g
오이 피클,설탕,900g
오이 피클,2배식초,600g
오이 피클,피클링스파이스,40g
오이 피클,레몬즙,200g
사워크라우트,양파S/C,12000g
사워크라우트,사워크라우트(캔),4개
사워크라우트,락틱버터,160g
사워크라우트,소금,45g
사워크라우트,설탕,250g
사워크라우트,오레가노 럽,2g
사워크라우트,간후추,2g
사워크라우트,화이트와인,300g
후무스,병아리콩(삶은것),600g
후무스,간마늘,50g
후무스,타히니,200g
후무스,파프리카P,3g
후무스,큐민P,5g
후무스,레몬즙,50g
후무스,버진,150g
후무스,소금,6g
후무스,설탕,10g
후무스,얼음물,60g
당근라페,당근,10개
당근라페,소금,200g
당근라페,화이트와인식초,900g
당근라페,설탕,100g
당근라페,엑스트라버진오일,900g
당근라페,홀그레인M, 50g