소스명,재료명,투입량
마살라,마살라,15g
마살라,커리가루,50g
마살라,스윗칠리,100g
마살라,마요네즈,400g
마살라,설탕,15g
마살라,레몬즙,20g
마살라,소금,5g
마살라,간마늘,50g
버섯불고기소스,간장,300g
버섯불고기소스,갈색설탕,150g
버섯불고기소스,물엿,150g
버섯불고기소스,미림,150g
버섯불고기소스,마늘,150g
버섯불고기소스,페페론치노,2g
버섯불고기소스,참기름,50g
두유 마요,두유,180g
두유 마요,식용유,200g
두유 마요,버진,160g
두유 마요,소금,8g
두유 마요,설탕,10g
두유 마요,레몬즙,25g
두유 마요,홀그레인,20g
땅콩 마요,우유,1g
땅콩 마요,설탕,150g
땅콩 마요,땅콩버터,1000g
땅콩 마요,마요네즈,700g
땅콩 마요,소금,10g
바베큐소스 가루류,큐민,20g
바베큐소스 가루류,갈릭P,50g
바베큐소스 가루류,어니언P,35g
바베큐소스 가루류,칠리P,60g
바베큐소스 가루류,파프리카P,60g
바베큐소스 가루류,로리스시즈닝,40g
바베큐소스 가루류,후추,35g
바베큐소스 가루류,브라운설탕,300g
바베큐소스 가루류,펙틴,35g
스윗칠리,냉동고추,200g
스윗칠리,양파,160g
스윗칠리,마늘,100g
스윗칠리,물엿,100g
스윗칠리,2배식초,80g
스윗칠리,설탕,200g
스윗칠리,물,400g
스윗칠리,전분,60g
스윗칠리,물,120g
핫칠리,냉동고추,100g
핫칠리,베트남건고추,25g
핫칠리,2배식초,20g
핫칠리,소금,3g
핫칠리,물,100g
스파이시 소스,파스트라미럽,50g
스파이시 소스,마요네즈,250g
스파이시 소스,마늘,50g
스파이시 소스,물엿,60g
스파이시 소스,엘로우머스터드,60g
갈릭마요 x2,마요네즈,300g
갈릭마요 x2,홀그레인머스타드,20g
갈릭마요 x2,간마늘,50g
갈릭마요 x2,꿀,40g
갈릭마요 x2,설탕,10g
갈릭마요 x2,소금,3g
갈릭마요 x2,레몬즙,40g
마켓소스,양파,300g
마켓소스,엑스트라 버진,1g
마켓소스,마요네즈,900g
마켓소스,케챱,700g
마켓소스,토마토소스,600g
마켓소스,큐민,3g
마켓소스,칠리파우더,5g
마켓소스,치킨파우더,10g
마켓소스,설탕,30g
마켓소스,흑후추,5g
산딸기잼,산딸기 크럼블,1000g
산딸기잼,냉동딸기,1000g
산딸기잼,설탕A,700g
산딸기잼,설탕B,50g
산딸기잼,펙틴,20g
산딸기잼,레몬즙,50g
파스트라미 럽,펜넬가루,15g
파스트라미 럽,큐민씨드,15g
파스트라미 럽,굵은후추,40g
파스트라미 럽,파슬리가루,20g
파스트라미 럽,코리엔더씨드,10g
파스트라미 럽,베트남고추,12g
망고처트니,양파찹,200g
망고처트니,간마늘,50g
망고처트니,간생강,10g
망고처트니,올리브오일,30g
망고처트니,코리엔더씨드,10g
망고처트니,크러쉬드페퍼,10g
망고처트니,큐민P,5g
망고처트니,타임,2g
망고처트니,넛맥,2g
망고처트니,시나몬,2g
망고처트니,냉동망고(굵게다지기),1000g
망고처트니,브라운슈가,50g
망고처트니,소금,10g
망고처트니,레몬주스,50g
체더소스,크림치즈,400g
체더소스,우유,500g
체더소스,물,500g
체더소스,체더(Y),600g
체더소스,2배식초,20g
체더소스,케챱,100g
체더소스,설탕,50g
체더소스,소금,10g
체더소스,마요네즈,400g
바질 마요,바질페스토,400g
바질 마요,마요네즈,800g
바질 마요,버진,200g
바질 마요,꿀,100g
바질 마요,2배식초,40g
바질 마요,소금,10g
레몬잠봉 드레싱,레몬청,100g
레몬잠봉 드레싱,버진,75g
레몬잠봉 드레싱,식용유,125g
레몬잠봉 드레싱,2배식초,30g
레몬잠봉 드레싱,화이트 비네거,50g
레몬잠봉 드레싱,홀그레인머스타드,10g
레몬잠봉 드레싱,마늘,25g
레몬잠봉 드레싱,꿀,30g
레몬잠봉 드레싱,소금,12g
레몬잠봉 드레싱,레몬즙,20g
레몬잠봉 드레싱,후추,2g
레몬잠봉 드레싱,바질럽드,3g
레몬잠봉 드레싱,바질페스토(선인),25g
바베큐소스 액체류,케챱,1700g
바베큐소스 액체류,물,150g
바베큐소스 액체류,우스터소스,160g
바베큐소스 액체류,레드와인식초,160g
바베큐소스 액체류,2배식초,160g
바베큐소스 액체류,엘로우머스터드,250g
바베큐소스 액체류,훈연소스,40g
라구볼로네제,버터,100g
라구볼로네제,간마늘,100g
라구볼로네제,베이컨,350g
라구볼로네제,살라미,350g
라구볼로네제,샐러리,600g
라구볼로네제,당근,600g
라구볼로네제,양파,600g
라구볼로네제,소고기,2000g
라구볼로네제,돼지고기,1000g
라구볼로네제,레드와인,300g
라구볼로네제,토마토페이스트340,1캔
라구볼로네제,홀토마토,2000g
라구볼로네제,우스터소스,50g
라구볼로네제,월계수잎,3장
라구볼로네제,후추,5g
라구볼로네제,소금,30g
라구볼로네제,오레가노,3g
라구볼로네제,로즈마리,5g
라구볼로네제,물,15000g
라구볼로네제,파마산치즈,100g
라구볼로네제,치킨스톡,25g